feature,importance
cat__trip_headsign_SUNNYVALE TRANSIT CTR,0.0
cat__trip_headsign_WILLIAMS & SARATOGA,0.0
cat__route_short_name_83,0.0
cat__route_short_name_73,0.0
cat__route_short_name_20,0.0
cat__route_long_name_Gilroy TC - St. Louise Hosp via Gilroy Outlets,0.0
cat__route_long_name_Gilroy TC - St. Louise Hosp via West Gilroy,0.0
cat__route_long_name_Foothill Coll - Mnt View TC via El Monte,0.0
cat__route_long_name_Gavilan Coll - Gilroy TC,0.0
cat__route_short_name_89,0.0
cat__route_short_name_Rapid 500,0.0
cat__route_short_name_Express 101,0.0
cat__route_short_name_ACE Purple,0.0
cat__route_short_name_ACE Gray,0.0
cat__route_long_name_Almaden & Camden - Mckee & White,0.0
cat__route_short_name_Rapid 568,0.0
cat__route_short_name_Rapid 522,0.0
cat__route_long_name_California Ave Caltrain - Palo Alto VA Hosp,0.0
cat__route_short_name_84,0.0
cat__route_short_name_85,0.0
cat__route_long_name_Lockheed Martin - Monterey & Old Tully,0.0
cat__route_long_name_Gilroy TC - San Jose Diridon,0.0
cat__route_long_name_Evergreen Valley Coll - Santa Teresa Stn,0.0
cat__route_long_name_San Jose Diridon - Berryessa BART,0.0
cat__route_long_name_Ohlone-Chynoweth Stn - Almaden & McKean,0.0
cat__route_long_name_Old Ironsides Stn - De Anza Coll,0.0
cat__route_long_name_Sunnyvale TC - Santa Clara TC,0.0
cat__route_long_name_South Sunnyvale,0.0
cat__route_long_name_Sierra & Piedmont - Good Samaritan Hospital,0.0
cat__route_long_name_Palo Alto TC - Eastridge Rapid,0.0
cat__occupancy_label_FULL,0.0
cat__occupancy_label_FEW_SEATS_AVAILABLE,0.0
cat__route_long_name_West Milpitas,0.0
cat__route_long_name_West Valley Coll - Capitol Stn,0.0
