"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-03","0.13","63","56"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-04","1.12","57","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-05","0.37","59","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-06","0.01","63","49"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-07","0.02","59","45"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-08","0.05","56","41"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-09","0.00","60","38"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-10","0.00","60","34"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-11","0.00","62","35"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-12","0.00","62","38"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-13","0.00","66","36"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-14","0.00","66","37"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-15","0.00","68","39"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-16","0.00","71","40"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-17","0.00","67","41"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-18","0.00","68","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-19","0.00","67","41"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-20","0.00","60","42"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-21","0.00","61","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-22","0.00","66","46"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-23","0.00","55","45"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-24","0.00","64","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-25","0.00","58","37"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-26","0.00","63","40"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-27","0.00","67","39"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-28","0.00","64","46"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-29","0.00","66","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-30","0.00","64","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-31","0.00","68","40"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-01","0.00","66","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-02","0.00","70","40"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-03","0.00","69","42"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-04","0.00","72","42"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-05","0.00","72","42"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-06","0.00","72","47"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-02-07","0.00","66","51"
