snapshot_ts,feed_ts,vehicle_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,stop_id,current_stop_sequence,current_status,current_status_name,latitude,longitude,bearing,speed_mph,occupancy_status,occupancy_label,vehicle_timestamp
2026-04-24T03:29:04.197196+00:00,1777001344,0219,3941621,72,1,20:08:00,20260423,0,63744,16.0,2,IN_TRANSIT_TO,37.33290100097656,-121.85392761230469,141.99000549316406,3.74,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0220,3941501,73,1,20:22:00,20260423,0,63800,7.0,2,IN_TRANSIT_TO,37.33808898925781,-121.88124084472656,59.15999984741211,14.02,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0900,3939185,Green Line,0,19:53:00,20260423,0,64753,16.0,1,INCOMING_AT,37.370628356933594,-121.9162826538086,319.0,8.0,5,FULL,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0902,3940040,Orange Line,0,20:00:00,20260423,0,64799,14.0,1,INCOMING_AT,37.40790557861328,-121.962646484375,61.0,13.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0903,3938460,Blue Line,0,19:39:00,20260423,0,64759,25.0,1,INCOMING_AT,37.408470153808594,-121.94438934326172,,0.0,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0905,3939255,Green Line,1,20:12:00,20260423,0,64765,8.0,2,IN_TRANSIT_TO,37.393211364746094,-121.93315887451172,149.0,31.0,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0906,,,0,,,0,,,2,IN_TRANSIT_TO,37.25535202026367,-121.84915924072266,271.0,21.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0907,,,0,,,0,,,2,IN_TRANSIT_TO,37.3548698425293,-121.90966796875,,0.0,5,FULL,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0910,3939183,Green Line,0,19:25:00,20260423,0,65866,27.0,2,IN_TRANSIT_TO,37.40336990356445,-121.98161315917969,,0.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0912,3938521,Blue Line,1,20:08:00,20260423,0,64772,12.0,2,IN_TRANSIT_TO,37.34403610229492,-121.89642333984375,149.0,22.0,5,FULL,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0913,,,0,,,0,,,2,IN_TRANSIT_TO,37.355770111083984,-121.90901947021484,,0.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0914,,,0,,,0,,,2,IN_TRANSIT_TO,37.35280227661133,-121.90306854248047,326.0,18.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0915,,,0,,,0,,,2,IN_TRANSIT_TO,37.353328704833984,-121.90929412841797,,0.0,5,FULL,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0917,3939186,Green Line,0,20:23:00,20260423,0,65378,3.0,1,INCOMING_AT,37.29387283325195,-121.93635559082031,,0.0,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0918,3939254,Green Line,1,19:42:00,20260423,0,65384,23.0,2,IN_TRANSIT_TO,37.300113677978516,-121.92997741699219,221.0,22.0,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0920,,,0,,,0,,,2,IN_TRANSIT_TO,37.35454177856445,-121.90921783447266,,2.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0922,3940104,Orange Line,1,19:42:00,20260423,0,65024,22.0,2,IN_TRANSIT_TO,37.407039642333984,-122.02666473388672,158.0,20.0,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0926,,,0,,,0,,,2,IN_TRANSIT_TO,37.3753662109375,-121.91983795166016,149.0,10.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0927,,,0,,,0,,,2,IN_TRANSIT_TO,37.37409210205078,-121.91891479492188,149.0,7.0,0,EMPTY,1777001328
