hour_of_day,is_rush_hour,is_weekend,route_stop_count,stop_position_pct,tmax,prcp,is_rainy,temp_range,stop_sequence,direction_id,speed_mph,is_delayed
17.0,1.0,1.0,188.0,0.42105263157894735,68.0,0.0,0.0,25.0,40.0,1.0,14.59,0
17.0,1.0,1.0,188.0,0.29473684210526313,68.0,0.0,0.0,25.0,28.0,1.0,25.44,0
17.0,1.0,1.0,188.0,0.08421052631578947,68.0,0.0,0.0,25.0,8.0,1.0,18.0,0
19.0,1.0,1.0,188.0,0.968421052631579,68.0,0.0,0.0,25.0,92.0,1.0,28.95,0
18.0,1.0,1.0,188.0,0.6105263157894737,68.0,0.0,0.0,25.0,58.0,1.0,3.2,0
19.0,1.0,1.0,188.0,0.3894736842105263,68.0,0.0,0.0,25.0,37.0,1.0,0.01,0
20.0,0.0,0.0,188.0,0.7263157894736842,62.0,0.0,0.0,24.0,69.0,1.0,47.0,0
20.0,0.0,0.0,188.0,0.6105263157894737,62.0,0.0,0.0,24.0,58.0,1.0,15.0,0
20.0,0.0,0.0,188.0,0.4105263157894737,62.0,0.0,0.0,24.0,39.0,1.0,15.0,0
20.0,0.0,0.0,188.0,0.3157894736842105,62.0,0.0,0.0,24.0,30.0,1.0,30.39,0
20.0,0.0,0.0,188.0,0.14736842105263157,62.0,0.0,0.0,24.0,14.0,1.0,18.0,0
13.0,0.0,1.0,61.0,0.9142857142857143,68.0,0.0,0.0,25.0,32.0,1.0,39.0,0
13.0,0.0,1.0,61.0,0.14285714285714285,68.0,0.0,0.0,25.0,5.0,1.0,0.0,0
16.0,1.0,1.0,61.0,0.17142857142857143,68.0,0.0,0.0,25.0,6.0,1.0,11.13,0
19.0,1.0,1.0,61.0,0.9142857142857143,68.0,0.0,0.0,25.0,32.0,1.0,38.0,0
18.0,1.0,1.0,61.0,0.11428571428571428,68.0,0.0,0.0,25.0,4.0,1.0,24.31,0
20.0,0.0,0.0,61.0,0.8285714285714286,62.0,0.0,0.0,24.0,29.0,1.0,20.5,0
20.0,0.0,0.0,61.0,0.2,62.0,0.0,0.0,24.0,7.0,1.0,14.02,0
13.0,0.0,1.0,61.0,0.9259259259259259,68.0,0.0,0.0,25.0,25.0,0.0,10.0,0
17.0,1.0,1.0,61.0,0.9259259259259259,68.0,0.0,0.0,25.0,25.0,0.0,9.0,0
19.0,1.0,1.0,61.0,0.8518518518518519,68.0,0.0,0.0,25.0,23.0,0.0,0.01,0
20.0,0.0,0.0,61.0,0.48148148148148145,62.0,0.0,0.0,24.0,13.0,0.0,0.0,0
13.0,0.0,1.0,136.0,1.0,68.0,0.0,0.0,25.0,67.0,1.0,6.02,1
13.0,0.0,1.0,136.0,0.582089552238806,68.0,0.0,0.0,25.0,39.0,1.0,17.0,1
13.0,0.0,1.0,136.0,0.373134328358209,68.0,0.0,0.0,25.0,25.0,1.0,28.52,0
13.0,0.0,1.0,136.0,0.1044776119402985,68.0,0.0,0.0,25.0,7.0,1.0,0.21,0
13.0,0.0,1.0,136.0,0.014925373134328358,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
17.0,1.0,1.0,136.0,0.6865671641791045,68.0,0.0,0.0,25.0,46.0,1.0,26.0,0
16.0,1.0,1.0,136.0,0.23880597014925373,68.0,0.0,0.0,25.0,16.0,1.0,0.0,1
16.0,1.0,1.0,136.0,0.014925373134328358,68.0,0.0,0.0,25.0,1.0,1.0,0.0,1
19.0,1.0,1.0,136.0,0.7014925373134329,68.0,0.0,0.0,25.0,47.0,1.0,39.0,0
19.0,1.0,1.0,136.0,0.0196078431372549,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
23.0,0.0,0.0,136.0,0.025,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
13.0,0.0,1.0,136.0,0.8536585365853658,68.0,0.0,0.0,25.0,35.0,1.0,9.36,0
13.0,0.0,1.0,136.0,0.36585365853658536,68.0,0.0,0.0,25.0,15.0,1.0,18.0,0
